Rank,rel_thres,strategy,model,SERA_médio,SERA_std,n_experimentos
1,0.52,RO,RandomForestRegressor,5230217.2793,20121511.9637,600
2,0.56,RO,RandomForestRegressor,5308725.6613,20116411.5309,600
3,0.58,RO,RandomForestRegressor,5335196.6808,20620441.0676,600
4,0.68,RO,RandomForestRegressor,5363499.5456,20619024.596,600
5,0.62,RO,RandomForestRegressor,5373072.0709,20647606.1834,600
6,0.72,RO,RandomForestRegressor,5379294.7216,20601320.4557,600
7,0.86,RO,RandomForestRegressor,5400199.31,20454401.59,600
8,0.74,RO,RandomForestRegressor,5413262.1943,20457780.9293,600
9,0.82,RO,BaggingRegressor,5434485.2084,20464363.2049,600
10,0.66,RO,RandomForestRegressor,5450729.3969,21020008.8149,600
11,0.76,RO,RandomForestRegressor,5483340.1303,21214592.944,600
12,0.8,RO,RandomForestRegressor,5509517.6532,20893128.6637,600
13,0.82,RO,XGBRegressor,5518159.9746,22383584.2467,600
14,0.54,RO,RandomForestRegressor,5527917.8863,21173399.0187,600
15,0.88,RO,RandomForestRegressor,5542173.7174,21029253.8404,600
16,0.64,RO,RandomForestRegressor,5557289.8766,21194673.4415,600
17,0.82,RO,RandomForestRegressor,5577139.1565,21353013.2746,600
18,0.98,RO,RandomForestRegressor,5577984.0843,21256133.9376,600
19,0.5,RO,RandomForestRegressor,5584834.5622,21790039.624,600
20,0.7,RO,RandomForestRegressor,5585146.2315,21370372.0287,600
