rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,SMT,data\a1,BaggingRegressor,0,40.9885612723585,fixed_params
0.84,SMT,data\a1,BaggingRegressor,1,2448.4951462125496,fixed_params
0.84,SMT,data\a1,BaggingRegressor,2,4455.1588593257575,fixed_params
0.84,SMT,data\a1,BaggingRegressor,3,1094.8416190296123,fixed_params
0.84,SMT,data\a1,BaggingRegressor,4,39.411407086232146,fixed_params
0.84,SMT,data\a1,BaggingRegressor,5,33.6127005,fixed_params
0.84,SMT,data\a1,BaggingRegressor,6,996.6925686988895,fixed_params
0.84,SMT,data\a1,BaggingRegressor,7,18.85881935360326,fixed_params
0.84,SMT,data\a1,BaggingRegressor,8,6472.38180991493,fixed_params
0.84,SMT,data\a1,BaggingRegressor,9,5136.761066370177,fixed_params
0.84,SMT,data\a1,BaggingRegressor,10,2573.204629996995,fixed_params
0.84,SMT,data\a1,BaggingRegressor,11,1601.5871383394344,fixed_params
0.84,SMT,data\a1,BaggingRegressor,12,3390.6088264042187,fixed_params
0.84,SMT,data\a1,BaggingRegressor,13,40.51943055954848,fixed_params
0.84,SMT,data\a1,BaggingRegressor,14,42.45391612088682,fixed_params
0.84,SMT,data\a1,BaggingRegressor,15,33.628068001069394,fixed_params
0.84,SMT,data\a1,BaggingRegressor,16,2460.180026133965,fixed_params
0.84,SMT,data\a1,BaggingRegressor,17,571.3416994714203,fixed_params
0.84,SMT,data\a1,BaggingRegressor,18,3558.026306722637,fixed_params
0.84,SMT,data\a1,BaggingRegressor,19,2186.900506094869,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,0,68.85536878082794,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,1,6434.935455224716,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,2,6520.863245969833,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,3,1051.820423148071,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,4,34.04742702886839,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,5,66.67314839949202,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,6,3558.253707105746,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,7,60.7322692788472,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,8,8599.775717027602,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,9,3794.734770661403,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,10,5896.990106694217,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,11,4898.67795,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,12,8048.524299999999,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,13,47.86128954260717,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,14,50.03528772888575,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,15,62.98829677139279,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,16,2678.673546273371,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,17,3918.0331334462376,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,18,7907.391240245639,fixed_params
0.84,SMT,data\a1,DecisionTreeRegressor,19,5146.4401202122235,fixed_params
0.84,SMT,data\a1,MLPRegressor,0,804277.8973362199,fixed_params
0.84,SMT,data\a1,MLPRegressor,1,983053.3868262924,fixed_params
0.84,SMT,data\a1,MLPRegressor,2,89029.84904078783,fixed_params
0.84,SMT,data\a1,MLPRegressor,3,515168.1434009107,fixed_params
0.84,SMT,data\a1,MLPRegressor,4,28586.68135153735,fixed_params
0.84,SMT,data\a1,MLPRegressor,5,3684.366462006745,fixed_params
0.84,SMT,data\a1,MLPRegressor,6,28441.266107963587,fixed_params
0.84,SMT,data\a1,MLPRegressor,7,44678.24606811166,fixed_params
