Dataset,rel_thres,Estratégia,Modelo,SERA Melhor,SERA Pior,Ganho Absoluto,Ganho %
space_ga,1.00e+00,SMT,XGBRegressor,3.78e+00,2.65e+11,2.65e+11,1.00e+02
boston,7.40e-01,RO,RandomForestRegressor,5.78e+02,9.40e+08,9.40e+08,1.00e+02
a7,6.40e-01,SMT,BaggingRegressor,4.73e+02,1.72e+08,1.72e+08,1.00e+02
a3,5.20e-01,RO,SVR,9.16e+02,2.45e+08,2.45e+08,1.00e+02
fuel_consumption_country,5.00e-01,SG,XGBRegressor,2.82e+01,5.67e+06,5.67e+06,1.00e+02
a2,9.60e-01,SMT,BaggingRegressor,2.36e+03,2.75e+08,2.75e+08,1.00e+02
cpu_small,5.00e-01,SG,XGBRegressor,5.88e+03,4.30e+08,4.30e+08,1.00e+02
acceleration,6.20e-01,SG,XGBRegressor,8.26e+01,3.53e+06,3.53e+06,1.00e+02
a1,8.00e-01,SMT,RandomForestRegressor,5.90e+03,1.39e+08,1.39e+08,1.00e+02
maximal_torque,5.60e-01,RO,XGBRegressor,5.63e+03,3.87e+07,3.87e+07,1.00e+02
available_power,6.40e-01,RO,RandomForestRegressor,6.10e+03,2.23e+07,2.23e+07,1.00e+02
airfoild,5.20e-01,RO,RandomForestRegressor,3.98e+08,1.38e+12,1.38e+12,1.00e+02
mortgage,8.60e-01,RO,XGBRegressor,1.97e+00,3.71e+03,3.71e+03,9.99e+01
delta_elevators,5.40e-01,SMT,XGBRegressor,1.97e-03,2.89e+00,2.89e+00,9.99e+01
heat,5.80e-01,SMT,XGBRegressor,1.37e+03,8.17e+05,8.16e+05,9.98e+01
treasury,6.40e-01,RO,XGBRegressor,5.47e+00,1.96e+03,1.96e+03,9.97e+01
concreteStrength,6.20e-01,RO,XGBRegressor,1.87e+03,7.75e+04,7.57e+04,9.76e+01
sensory,5.60e-01,RU,RandomForestRegressor,3.04e+01,4.01e+02,3.71e+02,9.24e+01
analcatdata_apnea3,8.20e-01,GN,RandomForestRegressor,3.78e+07,4.77e+08,4.39e+08,9.21e+01
cocomo_numeric,6.00e-01,SMT,BaggingRegressor,4.56e+05,4.32e+06,3.87e+06,8.94e+01
wine_quality,9.00e-01,RO,RandomForestRegressor,2.31e+02,1.85e+03,1.62e+03,8.75e+01
debutanizer,7.60e-01,SMT,RandomForestRegressor,9.59e-01,7.33e+00,6.37e+00,8.69e+01
places,6.00e-01,SMT,RandomForestRegressor,3.19e+07,2.24e+08,1.92e+08,8.57e+01
forestFires,9.20e-01,GN,SVR,2.19e+05,1.48e+06,1.26e+06,8.52e+01
lungcancer_shedden,9.80e-01,RU,RandomForestRegressor,3.26e+02,1.59e+03,1.26e+03,7.95e+01
kdd_coil_1,7.00e-01,RO,RandomForestRegressor,7.66e+03,3.62e+04,2.85e+04,7.88e+01
abalone,5.80e-01,SMT,RandomForestRegressor,2.20e+03,8.95e+03,6.76e+03,7.55e+01
triazines,6.60e-01,SMT,RandomForestRegressor,2.63e-01,1.06e+00,7.94e-01,7.52e+01
pdgfr,6.20e-01,SG,BaggingRegressor,2.53e-01,6.69e-01,4.16e-01,6.21e+01
meta,5.60e-01,SMT,MLPRegressor,3.05e+07,6.34e+07,3.29e+07,5.19e+01
