0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,1.0,2.0,8.0,9.8,60.8,6.238,578.0,105.0,170.0,50.0
1.9,2.0,1.0,2.0,8.1,11.4,40.02,5.33,346.66699,125667.0,187.05701,15.6
18.9,1.0,1.0,2.0,8.07,4.8,77.36399999999999,2302.0,98182.0,61.182,138.7,1.4
7.5,2.0,1.0,2.0,8.06,9.0,55.35,10.416,233.7,58222.0,97.58,10.5
1.4,0.0,1.0,3.0,8.25,13.1,65.75,9248.0,430.0,18.25,56667.0,28.4
3.2,3.0,1.0,3.0,8.15,10.3,73.25,1535.0,110.0,61.25,111.75,3.2
0.0,2.0,1.0,3.0,8.05,10.6,59067.0,4.99,205.66701,44667.0,77434.0,6.9
2.5,0.0,1.0,2.0,8.7,3.4,21.95,0.8859999999999999,102.75,36.3,71.0,5544.0
0.0,0.0,1.0,3.0,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8
0.0,1.0,1.0,3.0,7.7,10.2,8.0,1527.0,21.571,12.75,20.75,0.8
0.0,3.0,1.0,3.0,7.45,11.7,8.69,1588.0,18.429,10667.0,19.0,0.6
2.1,0.0,1.0,3.0,7.74,9.6,5.0,1.223,27.286,12.0,17.0,41.0
3.4,3.0,1.0,3.0,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5
7.8,0.0,1.0,3.0,7.9,9.6,3.0,1.4480000000000002,46.2,13.0,61.6,0.3
1.7,2.0,1.0,3.0,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
0.0,0.0,1.0,3.0,7.78,12.0,7.0,1.42,34333.0,18667.0,50.0,1.1
3.1,1.0,1.0,3.0,7.61,9.8,7.0,1443.0,31.333,20.0,57833.0,0.4
9.9,3.0,1.0,3.0,7.35,10.4,7.0,1.7180000000000002,49.0,41.5,61.5,0.8
0.0,1.0,1.0,2.0,7.79,3.2,64.0,2822.0,8777.59961,564.59998,771.59998,4.5
0.0,0.0,1.0,2.0,7.83,10.7,88.0,4825.0,1729.0,467.5,586.0,16.0
0.0,1.0,1.0,3.0,7.2,9.2,0.8,642.0,81.0,15.6,18.0,0.5
0.0,2.0,1.0,3.0,7.75,10.3,32.92,2.942,42.0,16.0,40.0,7.6
0.0,0.0,1.0,3.0,7.62,8.5,11867.0,1715.0,208.33299,3.0,27.5,1.7
1.2,1.0,1.0,3.0,7.84,9.4,10975.0,1.51,12.5,3.0,11.5,1.5
0.0,3.0,1.0,3.0,7.77,10.7,12536.0,3.976,58.5,9.0,44136.0,3.0
0.0,0.0,1.0,3.0,7.09,8.4,10.5,1.5719999999999998,28.0,4.0,13.6,0.5
0.0,2.0,1.0,3.0,6.8,11.1,9.0,0.63,20.0,4.0,15.3573268472903,2.7
19.6,0.0,1.0,3.0,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8
14.6,1.0,1.0,3.0,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5
1.2,2.0,1.0,3.0,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9
20.2,0.0,1.0,3.0,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8
1.9,3.0,1.0,3.0,7.8,11.3,20083.0,3.02,49.5,53.0,130.75,5.8
0.0,2.0,1.0,2.0,8.4,9.9,34.5,2818.0,3515.0,20.0,47.0,2.3
3.3,0.0,1.0,2.0,8.27,7.8,29.2,0.05,6400.0,7.4,23.0,0.9
1.0,3.0,1.0,2.0,8.66,8.4,30.523000000000003,3444.0,1911.0,58875.0,84.46,3.6
0.0,0.0,1.0,3.0,8.3,10.9,1.17,735.0,13.5,1625.0,3.0,0.2
0.0,1.0,1.0,3.0,8.0,10.4664624599572,1.45,0.81,10.0,2.5,3.0,0.3
4.1,0.0,1.0,2.0,8.3,8.9,20625.0,3.414,228.75,196.62,253.25,12.32
1.0,1.0,1.0,2.0,8.1,10.5,22.286,4.071000000000001,178.57001,182.42,255.28,8957.0
10.6,0.0,1.0,2.0,8.0,5.5,77.0,6096.0,122.85,143.71001,296.0,3.7
0.0,3.0,1.0,2.0,8.15,7.1,54.19,3.829,647.5700099999999,59.429,175.04601,13.2
7.5,0.0,1.0,3.0,8.3,7.7,50.0,8543.0,76.0,264.89999,344.60001,22.5
0.0,1.0,1.0,3.0,8.3,8.8,54143.0,7.83,51.429,276.85001,326.85699,11.84
0.0,0.0,1.0,3.0,8.4,13.4,69.75,4555.0,37.5,10.0,40667.0,3.9
2.7,1.0,1.0,3.0,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3
1.2,2.0,1.0,3.0,8.0,12.1,66.3,4535.0,39.0,16.0,39.0,0.8
0.0,0.0,1.0,1.0,7.792468286019,12.6,9.0,0.23,10.0,5.0,6.0,1.1
0.0,1.0,1.0,2.0,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8
0.0,2.0,1.0,2.0,7.29,11.21,17.75,3.07,35.0,13.0,20.812,12.1
0.0,0.0,1.0,2.0,7.6,10.2,32.3,4508.0,192.5,12.75,49333.0,7.9
1.2,3.0,1.0,2.0,8.0,7.9,27233.0,1651.0,28.333,7.3,22.9,4.5
0.0,0.0,1.0,3.0,6.6,10.8,6.081090204819129,3245.0,10.0,1.0,6.5,4.2182012053469
0.0,1.0,1.0,2.0,5.6,11.8,7.64098570361906,2.22,5.0,1.0,1.0,1.07214792040487
3.9,2.0,1.0,2.0,5.7,10.8,11.8851652911578,2.55,10.0,1.0,4.0,3.0675788346012003
0.0,1.0,1.0,3.0,6.6,9.5,20.0574612976049,1.32,20.0,1.0,6.0,6.02909288669881
0.0,3.0,1.0,3.0,6.6,10.8,7.07766148318143,2.64,10.0,2.0,11.0,0.798298822299477
0.0,2.0,1.0,2.0,6.6,11.3,9.98538571882485,4.17,10.0,1.0,6.0,2.51049422566279
0.0,1.0,1.0,2.0,6.5,10.4,9.734727601437369,5.97,10.0,2.0,14.0,4.23340112158487
0.0,2.0,1.0,3.0,7.83,11.7,4083.0,1328.0,18.0,3333.0,6.667000000000001,1.04416870664555
5.5,1.0,1.0,3.0,7.57,10.8,4575.0,1203.0,27.5,2.0,6.75,1.0
7.8,3.0,1.0,3.0,7.19,11.7,4.3260000000000005,1474.0,160.0,2.5,7.2,0.3
1.7,0.0,1.0,3.0,7.44,10.1,2.9330000000000003,0.77,15.0,1.3330000000000002,6.0,0.6
42.8,1.0,1.0,3.0,7.14,9.8,3275.0,0.923,15.0,1.25,10.75,2.5
3.0,3.0,1.0,3.0,7.0,12.1,3136.0,1208.0,16.2,1.8,2.5,0.5
1.5,0.0,1.0,2.0,7.5,1.5,32.4,0.921,1386.25,220.75,351.60001,10.0
