0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3.9,2.0,7.0,5707.0,390.0,9.0,3.9,9999.0,9999.0,9999.0,320.0,1.42,70.1,43.3,2.788
4.0,3.0,7.0,5707.0,390.0,9.0,4.2,9999.0,9999.0,9999.0,335.0,1.9,70.1,43.3,2.788
4.2,3.0,7.0,3600.0,309.0,9.0,5.0,9999.0,9999.0,9999.0,305.0,9999.0,9999.0,9999.0,2583.0
4.3,2.0,7.0,5474.0,357.0,9.0,4.7,9999.0,2.3,3.5,317.0,1.14,49.2,41.0,2.959
4.5,2.0,7.0,3586.0,294.0,9.0,4.7,9999.0,9999.0,9999.0,295.0,1.1,38.7,31.6,3.774
4.6,2.0,7.0,5341.0,410.0,9.0,4.9,9999.0,9999.0,9999.0,300.0,667.0,51.6,69.2,1885.0
4.7,2.0,7.0,3495.0,280.0,9.0,4.8,9999.0,9999.0,9999.0,295.0,871.0,67.3,41.1,2983.0
4.7,2.0,7.0,3495.0,280.0,9.0,4.8,9999.0,9999.0,9999.0,295.0,871.0,67.3,41.1,2983.0
4.8,2.0,7.0,3600.0,265.0,9.0,5.1,0.582,9999.0,9999.0,302.0,1.39,43.9,40.4,2859.0
4.8,2.0,7.0,3586.0,294.0,9.0,4.8,9999.0,9999.0,9999.0,295.0,1.1,38.7,31.6,3.774
4.8,2.0,7.0,2174.0,225.0,9.0,5.4,9999.0,9999.0,9999.0,261.0,1.92,40.1,37.4,3.189
4.8,2.0,7.0,3506.0,260.0,9.0,5.3,9999.0,9999.0,9999.0,282.0,1.61,39.1,40.9,2.9
4.9,3.0,7.0,3600.0,309.0,9.0,5.1,9999.0,9999.0,9999.0,298.0,9999.0,9999.0,9999.0,2399.0
4.9,2.0,7.0,2174.0,224.0,9.0,6.0,9999.0,9999.0,9999.0,260.0,1.77,37.7,37.7,3.189
4.9,2.0,7.0,4997.0,227.0,9.0,4.8,9999.0,9999.0,9999.0,271.0,1.6,45.2,48.7,2416.0
4.9,2.0,7.0,4997.0,227.0,9.0,4.7,9999.0,9999.0,9999.0,271.0,1.6,45.2,48.7,2416.0
5.0,2.0,7.0,5935.0,309.0,9.0,5.8,9999.0,9999.0,9999.0,298.0,0.788,58.8,63.1,1865.0
5.0,2.0,7.0,5935.0,309.0,9.0,6.1,9999.0,9999.0,9999.0,298.0,0.788,58.8,63.1,1865.0
5.0,2.0,7.0,5935.0,309.0,9.0,6.1,9999.0,9999.0,9999.0,266.0,0.911,54.1,48.6,2417.0
5.0,2.0,7.0,2174.0,197.0,9.0,6.8,9999.0,9999.0,9999.0,257.0,1.58,35.6,37.4,3.189
5.1,2.0,7.0,3217.0,271.0,9.0,5.9,669.0,9999.0,9999.0,280.0,1.93,38.8,41.0,2.868
5.2,2.0,7.0,3387.0,221.0,9.0,6.0,0.582,9999.0,9999.0,280.0,1.23,40.8,40.3,2.893
5.2,3.0,7.0,3387.0,221.0,9.0,6.2,0.582,9999.0,9999.0,280.0,1.23,40.8,40.3,2.893
5.2,2.0,7.0,5474.0,325.0,9.0,5.2,9999.0,9999.0,9999.0,302.0,1.77,51.6,44.8,2.7
5.2,2.0,7.0,3947.0,168.0,9.0,6.3,9999.0,9999.0,9999.0,235.0,1.72,37.9,39.8,2.876
5.2,2.0,7.0,5665.0,253.0,9.0,5.8,9999.0,9999.0,9999.0,274.0,9999.0,9999.0,9999.0,1.7
5.2,2.0,7.0,5665.0,253.0,9.0,5.8,9999.0,9999.0,9999.0,274.0,9999.0,9999.0,9999.0,1.7
5.4,2.0,7.0,5439.0,255.0,9.0,6.1,649.0,3.0,4.1,250.0,925.0,34.1,49.1,2.341
5.4,3.0,7.0,4172.0,265.0,9.0,6.5,653.0,9999.0,4.0,250.0,0.864,29.3,41.3,3.1
5.4,2.0,7.0,3201.0,236.0,9.0,5.9,0.681,9999.0,9999.0,250.0,0.926,28.2,36.5,3.2
5.4,2.0,7.0,3201.0,236.0,9.0,5.7,773.0,9999.0,9999.0,250.0,0.926,28.2,36.5,3.2
5.4,2.0,7.0,3387.0,221.0,9.0,6.3,0.582,9999.0,9999.0,280.0,1.23,40.8,40.3,2.893
5.4,3.0,7.0,3387.0,221.0,9.0,6.6,0.582,9999.0,9999.0,280.0,1.23,40.8,40.3,2.893
5.4,2.0,7.0,3996.0,267.0,9.0,6.1,9999.0,9999.0,9999.0,250.0,0.822,41.1,49.4,2.5
5.5,2.0,7.0,5474.0,325.0,9.0,5.4,9999.0,9999.0,9999.0,298.0,0.949,52.0,50.2,2.4
5.6,2.0,7.0,3996.0,267.0,9.0,6.6,9999.0,9999.0,9999.0,250.0,853.0,39.7,47.6,2.5
5.6,2.0,7.0,3996.0,267.0,9.0,6.6,9999.0,9999.0,9999.0,250.0,0.822,41.1,49.4,2.5
5.6,2.0,7.0,5665.0,253.0,9.0,5.9,9999.0,9999.0,9999.0,274.0,9999.0,9999.0,9999.0,2.192
5.6,2.0,7.0,5665.0,253.0,9.0,5.9,9999.0,9999.0,9999.0,274.0,9999.0,9999.0,9999.0,2.192
5.7,2.0,7.0,5439.0,260.0,9.0,6.3,629.0,2.9,4.2,250.0,0.95,34.9,50.2,2.341
5.7,3.0,7.0,4172.0,250.0,9.0,6.9,748.0,9999.0,4.1,250.0,0.92,27.5,38.8,3.1
5.7,3.0,7.0,2671.0,195.0,9.0,7.9,629.0,9999.0,3.9,250.0,1.47,14.9,41.2,2812.0
5.7,2.0,7.0,3996.0,267.0,9.0,6.7,9999.0,9999.0,9999.0,250.0,0.832,40.6,48.8,2.5
5.7,2.0,7.0,3239.0,250.0,9.0,6.8,9999.0,9999.0,9999.0,266.0,1.35,28.5,44.7,2673.0
5.7,2.0,7.0,3239.0,250.0,9.0,7.0,9999.0,9999.0,9999.0,266.0,1.0,40.8,46.2,2.584
5.7,2.0,7.0,5341.0,260.0,9.0,7.5,9999.0,9999.0,9999.0,266.0,0.959,56.0,46.2,2822.0
5.7,3.0,7.0,2972.0,210.0,9.0,8.2,0.65,9999.0,9999.0,250.0,0.81,27.8,51.4,2339.0
5.8,2.0,7.0,3217.0,247.0,9.0,6.7,9999.0,9999.0,9999.0,270.0,1.14,36.9,41.6,2763.0
5.8,2.0,7.0,3217.0,247.0,9.0,6.8,9999.0,9999.0,9999.0,265.0,955.0,54.3,43.4,2.652
5.8,2.0,7.0,3947.0,168.0,9.0,6.5,9999.0,9999.0,9999.0,235.0,935.0,43.5,45.7,2615.0
5.8,3.0,7.0,4172.0,250.0,9.0,7.2,748.0,9999.0,4.2,250.0,0.92,27.5,38.8,3.1
5.8,3.0,7.0,2671.0,195.0,9.0,8.1,653.0,9999.0,4.0,250.0,1.47,14.9,41.2,2812.0
5.9,2.0,7.0,3179.0,185.0,9.0,7.0,618.0,9999.0,9999.0,260.0,1.33,39.9,40.3,2.893
5.9,2.0,7.0,2790.0,206.0,9.0,7.5,9999.0,9999.0,9999.0,260.0,1.41,29.3,41.6,2763.0
5.9,2.0,7.0,2790.0,206.0,9.0,7.6,9999.0,9999.0,9999.0,255.0,1.52,41.6,40.4,2847.0
5.9,2.0,7.0,1795.0,88.0,9.0,7.7,9999.0,9999.0,9999.0,202.0,988.0,26.9,37.2,3.12
5.9,2.0,7.0,6750.0,312.0,9.0,7.9,9999.0,9999.0,9999.0,270.0,1.44,43.0,64.6,2.18
5.9,2.0,7.0,5439.0,260.0,9.0,6.7,0.71,3.0,4.2,250.0,0.95,34.9,50.2,2.341
6.0,2.0,7.0,3387.0,221.0,9.0,6.2,0.582,9999.0,9999.0,275.0,0.944,39.8,42.8,2.7
6.0,3.0,7.0,3387.0,221.0,9.0,6.4,0.582,9999.0,9999.0,275.0,0.944,39.8,42.8,2.7
6.0,2.0,7.0,3239.0,250.0,9.0,7.1,9999.0,9999.0,9999.0,250.0,972.0,28.5,44.7,2673.0
6.0,2.0,7.0,3239.0,250.0,9.0,7.3,9999.0,9999.0,9999.0,250.0,966.0,40.8,45.0,2655.0
6.1,2.0,7.0,5987.0,290.0,9.0,6.8,0.63,3.2,4.5,250.0,888.0,47.6,54.2,2.2
6.2,2.0,7.0,3387.0,221.0,9.0,6.5,0.582,9999.0,9999.0,275.0,0.944,39.8,42.8,2.7
6.2,3.0,7.0,3387.0,221.0,9.0,6.8,0.582,9999.0,9999.0,275.0,0.944,39.8,42.8,2.7
6.2,2.0,7.0,1997.0,177.0,9.0,7.1,0.692,9999.0,9999.0,240.0,0.83,67.6,34.8,3321.0
6.3,2.0,7.0,5786.0,270.0,9.0,7.0,616.0,3.0,4.5,250.0,9999.0,9999.0,9999.0,2.341
6.3,2.0,7.0,5786.0,270.0,9.0,7.3,621.0,3.0,4.5,250.0,0.97,47.5,50.1,2.341
6.3,2.0,7.0,6750.0,286.0,9.0,8.6,9999.0,9999.0,9999.0,245.0,0.947,39.1,64.6,2.18
6.3,3.0,7.0,1994.0,160.0,9.0,8.0,0.663,9999.0,9999.0,231.0,0.999,34.5,41.3,2886.0
6.3,2.0,7.0,4398.0,210.0,9.0,8.3,716.0,9999.0,9999.0,250.0,0.94,36.2,51.2,2332.0
6.4,2.0,7.0,4266.0,205.0,9.0,7.2,617.0,3.2,4.7,250.0,826.0,33.3,52.6,2.2
6.4,3.0,7.0,1781.0,165.0,9.0,8.5,677.0,9999.0,4.3,243.0,1.76,17.7,38.3,3.24
6.4,2.0,7.0,4398.0,210.0,9.0,7.9,0.673,9999.0,9999.0,250.0,871.0,42.9,53.2,2248.0
6.4,2.0,7.0,6750.0,300.0,9.0,8.7,9999.0,9999.0,9999.0,245.0,0.947,42.0,64.6,2.18
6.4,3.0,7.0,1994.0,160.0,9.0,8.2,0.704,9999.0,9999.0,229.0,991.0,34.5,41.3,2886.0
6.5,2.0,7.0,4966.0,225.0,9.0,8.1,0.65,3.2,4.7,250.0,0.824,33.8,54.2,2.2
6.5,2.0,7.0,4966.0,225.0,9.0,8.0,621.0,3.2,4.7,250.0,0.86,36.6,52.8,2.341
6.5,2.0,7.0,4966.0,225.0,9.0,8.0,616.0,3.1,4.6,250.0,9999.0,9999.0,9999.0,2.341
6.5,2.0,7.0,3179.0,185.0,9.0,7.2,618.0,9999.0,9999.0,255.0,0.967,38.4,42.2,2.8
6.5,2.0,7.0,5341.0,260.0,9.0,7.9,9999.0,9999.0,9999.0,240.0,865.0,56.0,46.2,2822.0
6.5,2.0,7.0,4398.0,260.0,9.0,9.2,0.921,9999.0,9999.0,240.0,9999.0,9999.0,9999.0,2315.0
6.6,2.0,7.0,4266.0,205.0,9.0,7.9,629.0,3.2,4.6,250.0,0.864,35.0,50.3,2343.0
6.6,3.0,7.0,4172.0,265.0,9.0,6.6,653.0,9999.0,4.8,250.0,0.864,31.7,41.4,2.999
6.6,2.0,7.0,2687.0,162.0,9.0,7.8,598.0,9999.0,9999.0,250.0,0.949,44.1,41.1,2812.0
6.7,3.0,7.0,1781.0,165.0,9.0,8.9,716.0,9999.0,4.8,237.0,1.5,17.7,38.3,3.24
6.7,3.0,7.0,4172.0,250.0,9.0,7.0,748.0,9999.0,4.9,250.0,865.0,31.6,41.3,2823.0
6.7,1.0,7.0,2959.0,162.0,9.0,8.7,9999.0,9999.0,9999.0,240.0,0.936,47.7,40.7,2.8
6.7,2.0,7.0,3996.0,209.0,9.0,7.7,9999.0,9999.0,9999.0,251.0,812.0,45.9,50.7,2448.0
6.7,2.0,7.0,6750.0,286.0,9.0,9.1,9999.0,9999.0,9999.0,241.0,932.0,39.1,64.6,2.18
6.7,1.0,7.0,1797.0,140.0,9.0,8.0,9999.0,9999.0,9999.0,233.0,1.19,51.5,28.9,3766.0
6.8,3.0,7.0,4266.0,205.0,9.0,8.3,632.0,3.2,4.8,250.0,0.94,32.1,46.2,2551.0
6.8,3.0,7.0,1781.0,154.0,9.0,9.1,639.0,9999.0,4.8,238.0,1.72,16.9,38.3,3.24
6.8,2.0,7.0,2793.0,141.0,9.0,9.2,677.0,9999.0,9999.0,231.0,1186.0,34.5,36.7,3.2
6.8,2.0,7.0,5379.0,240.0,9.0,8.3,0.707,9999.0,9999.0,250.0,882.0,49.2,56.7,2.2
6.8,1.0,7.0,2290.0,165.0,9.0,8.0,9999.0,9999.0,9999.0,250.0,1.6,20.9,42.9,2673.0
6.8,2.0,7.0,6750.0,298.0,9.0,8.5,0.921,9999.0,9999.0,249.0,9999.0,9999.0,9999.0,2.18
6.8,1.0,7.0,4565.0,224.0,9.0,8.3,9999.0,9999.0,9999.0,240.0,0.83,50.5,49.8,2.527
6.8,3.0,7.0,4172.0,250.0,9.0,7.3,748.0,9999.0,5.0,250.0,865.0,31.6,41.3,2823.0
6.9,2.0,7.0,3199.0,160.0,9.0,8.4,632.0,3.2,4.8,242.0,0.999,26.9,42.5,2.724
6.9,3.0,7.0,4172.0,228.0,9.0,7.7,675.0,9999.0,4.9,250.0,0.788,35.7,52.9,2339.0
6.9,3.0,7.0,4172.0,220.0,9.0,8.0,613.0,9999.0,4.8,250.0,752.0,36.2,53.6,2193.0
