0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33.0,1.0,599.0,3.0,3.0,992.0,10.0,70.0,14.69,6.0,9.0,1.0,20.0,27.0,33.0,2.0
40.0,1.0,599.0,3.0,3.0,992.0,10.0,88.0,18.46,6.0,9.0,1.0,20.0,27.0,33.0,2.0
40.0,1.0,599.0,3.0,3.0,992.0,10.0,88.0,18.46,6.0,9.0,1.0,20.0,27.0,33.0,2.0
40.0,1.0,599.0,3.0,3.0,992.0,10.0,88.0,18.46,6.0,9.0,1.0,20.0,27.0,33.0,2.0
38.0,1.0,796.0,3.0,3.0,1.51,9.0,69.0,10.89,6.0,12.0,1.0,25.0,27.0,33.0,2.0
30.0,2.0,799.0,3.0,3.0,1.26,19.0,100.0,15.73,6.0,9.0,1.0,20.0,27.0,33.0,2.0
29.0,1.0,899.0,4.0,3.0,1.42,9.0,65.0,9.09,7.0,11.0,1.0,23.0,27.0,33.0,2.0
33.0,1.0,954.0,4.0,3.0,0.886,9.0,74.0,9.75,6.0,12.0,1.0,25.0,27.0,33.0,2.0
40.0,1.0,973.0,3.0,3.0,1.84,10.0,82.0,10.59,6.0,9.0,2.0,20.0,27.0,33.0,4.0
40.0,1.0,973.0,3.0,3.0,1.84,10.0,82.0,10.59,6.0,9.0,2.0,20.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
41.0,1.0,989.0,3.0,3.0,1125.0,10.0,88.0,11.18,6.0,14.0,2.0,21.0,27.0,33.0,4.0
39.0,1.0,993.0,3.0,3.0,1.41,10.0,76.0,9.62,6.0,12.0,1.0,21.0,27.0,33.0,2.0
39.0,1.0,993.0,3.0,3.0,1.41,10.0,76.0,9.62,6.0,12.0,1.0,21.0,27.0,33.0,2.0
40.0,1.0,993.0,4.0,3.0,847.0,9.0,77.0,9.74,6.0,12.0,1.0,25.0,27.0,33.0,2.0
40.0,1.0,993.0,4.0,3.0,847.0,9.0,77.0,9.74,6.0,12.0,1.0,25.0,27.0,33.0,2.0
37.0,1.0,997.0,4.0,3.0,0.85,10.0,84.0,10.59,7.0,15.0,1.0,25.0,27.0,33.0,2.0
40.0,1.0,998.0,4.0,3.0,887.0,10.0,79.0,9.95,6.0,15.0,2.0,21.0,27.0,33.0,4.0
40.0,1.0,998.0,4.0,3.0,887.0,10.0,79.0,9.95,6.0,15.0,2.0,21.0,27.0,33.0,4.0
40.0,1.0,998.0,4.0,3.0,887.0,10.0,79.0,9.95,6.0,15.0,2.0,21.0,27.0,33.0,4.0
40.0,1.0,998.0,4.0,3.0,887.0,10.0,79.0,9.95,6.0,15.0,2.0,21.0,27.0,33.0,4.0
50.0,1.0,998.0,4.0,3.0,0.967,10.0,90.0,11.33,6.0,11.0,2.0,21.0,29.0,33.0,4.0
50.0,1.0,998.0,4.0,3.0,0.967,10.0,90.0,11.33,6.0,11.0,2.0,21.0,29.0,33.0,4.0
50.0,1.0,998.0,4.0,3.0,0.967,10.0,90.0,11.33,6.0,11.0,2.0,21.0,29.0,33.0,4.0
37.0,1.0,999.0,4.0,3.0,1.52,11.0,86.0,10.82,6.0,12.0,1.0,20.0,27.0,33.0,2.0
37.0,1.0,999.0,4.0,3.0,1.52,11.0,86.0,10.82,6.0,12.0,1.0,20.0,27.0,33.0,2.0
37.0,1.0,999.0,4.0,3.0,1.52,11.0,86.0,10.82,6.0,12.0,1.0,20.0,27.0,33.0,2.0
40.0,1.0,999.0,4.0,3.0,1.16,10.0,82.0,10.31,6.0,12.0,1.0,25.0,27.0,33.0,3.0
40.0,1.0,999.0,4.0,3.0,1.16,10.0,82.0,10.31,6.0,12.0,1.0,25.0,27.0,33.0,3.0
40.0,1.0,999.0,4.0,3.0,1.16,10.0,82.0,10.31,6.0,12.0,1.0,25.0,27.0,33.0,3.0
40.0,1.0,999.0,4.0,3.0,1.16,10.0,82.0,10.31,6.0,12.0,1.0,25.0,27.0,33.0,3.0
40.0,1.0,1108.0,4.0,3.0,1.29,10.0,86.0,9.75,6.0,12.0,1.0,21.0,27.0,33.0,2.0
40.0,1.0,1108.0,4.0,3.0,1.29,10.0,86.0,9.75,6.0,12.0,1.0,21.0,27.0,33.0,2.0
44.0,1.0,1124.0,4.0,3.0,958.0,9.0,88.0,9.84,6.0,12.0,1.0,25.0,27.0,33.0,2.0
44.0,1.0,1124.0,4.0,3.0,958.0,10.0,91.0,10.17,6.0,12.0,1.0,20.0,27.0,33.0,2.0
