0,1,2,3,4,5,6,7,8,9,10,11,12,13
24.0,6.0,18.0,2.31,0.0,538.0,6575.0,65.2,4.09,1.0,296.0,15.3,396898.0,4.98
21.6,27.0,0.0,7.07,0.0,469.0,6421.0,78.9,4967.0,2.0,242.0,17.8,396898.0,9.14
34.7,27.0,0.0,7.07,0.0,469.0,7185.0,61.1,4967.0,2.0,242.0,17.8,392828.0,4.03
36.2,69.0,0.0,2.18,0.0,458.0,7147.0,54.2,6062.0,3.0,222.0,18.7,396898.0,5.33
28.7,0.03,0.0,2.18,0.0,458.0,6.43,58.7,6062.0,3.0,222.0,18.7,394119.0,5.21
22.9,88.0,12.5,7.87,0.0,524.0,6012.0,66.6,5.56,5.0,311.0,15.2,395.6,12.43
27.1,145.0,12.5,7.87,0.0,524.0,6172.0,96.1,5.95,5.0,311.0,15.2,396898.0,19.15
16.5,211.0,12.5,7.87,0.0,524.0,5631.0,100.0,6082.0,5.0,311.0,15.2,386629.0,29.93
18.9,0.17,12.5,7.87,0.0,524.0,6004.0,85.9,6592.0,5.0,311.0,15.2,386709.0,17.1
15.0,225.0,12.5,7.87,0.0,524.0,6377.0,94.3,6347.0,5.0,311.0,15.2,392.52,20.45
21.7,94.0,12.5,7.87,0.0,524.0,5889.0,39.0,5451.0,5.0,311.0,15.2,390.5,15.71
20.4,0.63,0.0,8.14,0.0,538.0,5949.0,61.8,4707.0,4.0,307.0,21.0,396898.0,8.26
18.2,638.0,0.0,8.14,0.0,538.0,6096.0,84.5,4462.0,4.0,307.0,21.0,380.02,10.26
23.1,1054.0,0.0,8.14,0.0,538.0,5935.0,29.3,4499.0,4.0,307.0,21.0,386.85,6.58
17.5,784.0,0.0,8.14,0.0,538.0,5.99,81.7,4258.0,4.0,307.0,21.0,386.75,14.67
20.2,803.0,0.0,8.14,0.0,538.0,5456.0,36.6,3796.0,4.0,307.0,21.0,288988.0,11.69
18.2,726.0,0.0,8.14,0.0,538.0,5727.0,69.5,3796.0,4.0,307.0,21.0,390949.0,11.28
13.6,1252.0,0.0,8.14,0.0,538.0,5.57,98.1,3798.0,4.0,307.0,21.0,376568.0,21.02
19.6,852.0,0.0,8.14,0.0,538.0,5965.0,89.2,4012.0,4.0,307.0,21.0,392529.0,13.83
15.2,1232.0,0.0,8.14,0.0,538.0,6142.0,91.7,3977.0,4.0,307.0,21.0,396898.0,18.72
14.5,988.0,0.0,8.14,0.0,538.0,5813.0,100.0,4095.0,4.0,307.0,21.0,394539.0,19.88
15.6,0.75,0.0,8.14,0.0,538.0,5924.0,94.1,4.4,4.0,307.0,21.0,394328.0,16.3
13.9,841.0,0.0,8.14,0.0,538.0,5599.0,85.7,4455.0,4.0,307.0,21.0,303.42,16.51
16.6,672.0,0.0,8.14,0.0,538.0,5813.0,90.3,4682.0,4.0,307.0,21.0,376879.0,14.81
14.8,956.0,0.0,8.14,0.0,538.0,6047.0,88.8,4453.0,4.0,307.0,21.0,306379.0,17.28
18.4,773.0,0.0,8.14,0.0,538.0,6495.0,94.4,4455.0,4.0,307.0,21.0,387939.0,12.8
21.0,1002.0,0.0,8.14,0.0,538.0,6674.0,87.3,4239.0,4.0,307.0,21.0,380229.0,11.98
12.7,1131.0,0.0,8.14,0.0,538.0,5713.0,94.1,4233.0,4.0,307.0,21.0,360.17,22.6
14.5,1355.0,0.0,8.14,0.0,538.0,6072.0,100.0,4175.0,4.0,307.0,21.0,376729.0,13.04
