0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2.7,1.0,8.0,9.0,3.0,12.0,1191.0,45.0,20.0,4000.0,875.0,5000.0,9999.0,14.77,9999.0,10.5,14.5,830.0,360.0,18.4,15.0,21.0,1.0,29.0,34.0,39.0,45.0,3529.0,1621.0,1455.0,2319.0,165.0,140.0,563.0,47.7,2.1,51.0,57.0
3.2,2.0,8.0,9.0,3.0,12.0,799.0,30.0,19.0,4200.0,825.0,4500.0,4500.0,15.73,7.8,13.2,19.8,730.0,260.0,24.3,15.0,18.0,1.0,29.0,34.0,38.0,43.0,2500.0,1516.0,1551.0,1812.0,135.0,100.0,728.0,43.7,2.4,51.0,57.0
3.5,1.0,8.0,9.0,3.0,12.0,1422.0,55.0,20.0,4000.0,680.0,9999.0,9999.0,17.23,9999.0,9999.0,12.3,990.0,510.0,18.0,15.0,21.0,1.0,29.0,34.0,38.0,45.0,3826.0,1673.0,1553.0,2405.0,173.0,195.0,605.0,9999.0,2576.0,51.0,57.0
3.5,1.0,8.0,9.0,4.0,12.0,1686.0,55.0,18.0,4400.0,800.0,9999.0,9999.0,12.3,9999.0,9999.0,15.0,1169.0,526.0,21.3,15.0,21.0,2.0,29.0,34.0,38.0,46.0,4110.0,1709.0,1425.0,2606.0,175.0,165.0,0.5770000000000001,49.0,2379.0,51.0,57.0
3.5,1.0,8.0,9.0,4.0,12.0,1686.0,55.0,18.0,4400.0,800.0,9999.0,9999.0,12.3,9999.0,9999.0,15.0,1189.0,526.0,21.6,15.0,21.0,2.0,29.0,34.0,38.0,46.0,4110.0,1709.0,1425.0,2606.0,175.0,165.0,0.5770000000000001,49.0,2379.0,51.0,57.0
3.6,1.0,8.0,9.0,4.0,12.0,1716.0,44.0,20.0,4200.0,9999.0,9999.0,9999.0,8.42,9999.0,10.8,16.8,963.0,437.0,21.9,15.0,21.0,1.0,28.0,34.0,39.0,44.0,3536.0,1639.0,1460.0,2323.0,157.0,115.0,659.0,41.4,2.466,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1896.0,81.0,20.0,4150.0,860.0,5000.0,9999.0,15.58,9999.0,7.2,10.5,1190.0,560.0,14.7,15.0,21.0,1.0,29.0,34.0,38.0,44.0,4152.0,1735.0,1427.0,2513.0,194.0,235.0,639.0,44.5,2.66,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1686.0,55.0,18.0,4400.0,800.0,9999.0,9999.0,12.3,9999.0,9999.0,15.0,1169.0,526.0,21.3,15.0,21.0,2.0,29.0,34.0,38.0,46.0,4110.0,1709.0,1425.0,2606.0,170.0,165.0,609.0,41.8,2698.0,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1686.0,55.0,18.0,4400.0,800.0,9999.0,9999.0,12.3,9999.0,9999.0,15.0,1189.0,526.0,21.6,15.0,21.0,2.0,29.0,34.0,38.0,46.0,4252.0,1709.0,1425.0,2606.0,170.0,165.0,589.0,41.8,2698.0,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1686.0,55.0,18.0,4400.0,800.0,9999.0,9999.0,12.3,9999.0,9999.0,15.0,1189.0,526.0,21.6,15.0,21.0,2.0,29.0,34.0,38.0,46.0,4110.0,1709.0,1425.0,2606.0,170.0,165.0,609.0,41.8,2698.0,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1896.0,81.0,20.0,4000.0,9999.0,9999.0,9999.0,15.58,9999.0,9999.0,10.5,1125.0,460.0,13.9,15.0,21.0,1.0,29.0,34.0,38.0,44.0,3876.0,1640.0,1422.0,2443.0,193.0,235.0,9999.0,45.6,2.4,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1896.0,47.0,20.0,4000.0,9999.0,9999.0,9999.0,8.28,9999.0,9999.0,18.7,1123.0,485.0,23.9,15.0,21.0,1.0,28.0,34.0,39.0,44.0,3960.0,1646.0,1451.0,2462.0,152.0,125.0,643.0,43.1,2492.0,0.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1896.0,74.0,19.0,4000.0,9999.0,9999.0,9999.0,15.91,9999.0,9999.0,11.5,1154.0,495.0,15.6,15.0,21.0,1.0,29.0,34.0,38.0,45.0,3960.0,1646.0,1451.0,2462.0,183.0,240.0,643.0,47.9,2.212,51.0,57.0
4.0,1.0,8.0,9.0,4.0,12.0,1910.0,59.0,18.0,3000.0,9999.0,9999.0,9999.0,12.9,9999.0,9999.0,12.2,1040.0,510.0,17.6,15.0,21.0,1.0,29.0,34.0,38.0,43.0,3800.0,1660.0,1480.0,2460.0,170.0,196.0,9999.0,48.5,2186.0,51.0,57.0
