0,1,2,3,4,5,6,7,8,9,10,11
0.18,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,0.0,100.0
0.71,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,0.5,100.0
1.28,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,1.0,100.0
1.89,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,1.5,100.0
2.55,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,2.0,100.0
3.25,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,2.5,100.0
3.99,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,3.0,100.0
4.77,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,3.5,100.0
5.61,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,4.0,100.0
6.48,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,4.5,100.0
7.39,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,5.0,100.0
8.35,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,5.5,100.0
9.33,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,6.0,100.0
10.38,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,6.5,100.0
11.46,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,7.0,100.0
12.59,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,7.5,100.0
13.75,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,8.0,100.0
14.96,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,8.5,100.0
16.22,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,9.0,100.0
17.5,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,9.5,100.0
18.85,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,10.0,100.0
20.22,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,10.5,100.0
21.65,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,11.0,100.0
23.11,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,11.5,100.0
24.63,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,12.0,100.0
1.75,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,0.0,1000.0
2.26,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,0.5,1000.0
2.83,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,1.0,1000.0
3.47,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,1.5,1000.0
4.16,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,2.0,1000.0
4.93,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,2.5,1000.0
5.75,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,3.0,1000.0
6.64,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,3.5,1000.0
7.6,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,4.0,1000.0
8.62,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,4.5,1000.0
9.71,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,5.0,1000.0
10.85,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,5.5,1000.0
12.07,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,6.0,1000.0
13.35,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,6.5,1000.0
14.7,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,7.0,1000.0
16.1,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,7.5,1000.0
17.58,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,8.0,1000.0
19.11,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,8.5,1000.0
20.71,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,9.0,1000.0
22.38,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,9.5,1000.0
24.11,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,10.0,1000.0
25.91,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,10.5,1000.0
27.77,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,11.0,1000.0
31.68,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,12.0,1000.0
3.24,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,0.0,1500.0
3.79,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,0.5,1500.0
4.41,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,1.0,1500.0
5.1,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,1.5,1500.0
5.87,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,2.0,1500.0
6.71,3.0,5.0,21.0,1997.0,84.0,87.0,4.0,105.0,130.0,2.5,1500.0
